Feature,Importance
NoOfExternalRef,0.18887554655496014
LineOfCode,0.14434281372817992
NoOfImage,0.1233748911584647
NoOfSelfRef,0.10002832301507687
NoOfJS,0.07270948058941734
NoOfCSS,0.06905732485240262
HasSocialNet,0.05127466039735668
NoOfOtherSpecialCharsInURL,0.03933200470451242
HasDescription,0.039205748229421
LargestLineLength,0.0382119642718555
HasSubmitButton,0.020167172922202967
HasCopyrightInfo,0.019879051135460766
URLLength,0.019246575605961047
NoOfDegitsInURL,0.01322610680166291
LetterRatioInURL,0.01066324134806192
NoOfLettersInURL,0.009606712543144609
SpacialCharRatioInURL,0.00699993938307051
DegitRatioInURL,0.006363327293446814
IsResponsive,0.006324265788106711
NoOfEmptyRef,0.005748424542249295
NoOfSubDomain,0.00524164533184241
HasFavicon,0.002753884615462847
DomainLength,0.0017591808647618547
CharContinuationRate,0.0014794880320011818
URLCharProb,0.0010035800591922373
NoOfiFrame,0.0008257600474583521
TLDLegitimateProb,0.0007848775118266399
HasHiddenFields,0.0002781786031320323
Robots,0.00025240699290383076
TLDLength,0.00023614819942242637
HasPasswordField,0.00019048104812071734
Pay,0.00014578756118505205
HasTitle,0.0001099085407977239
Bank,8.92661954468936e-05
NoOfPopup,8.911564135805514e-05
NoOfURLRedirect,4.8595172837412295e-05
Crypto,4.240991296615591e-05
HasExternalFormSubmit,2.3467426573750238e-05
NoOfSelfRedirect,8.243377695788643e-06
